author_id,author_name
1,ThomasH.Cormen
2,StephenJ.Chapman
3,PaulHorowitz
4,R.C.Hibbeler
5,GeorgeF.Limbrunner
6,HectorGarcia-Molina
7,AdelS.Sedra
8,AlanV.Oppenheim
9,YunusA.Cengel
10,RussellC.Hibbeler
11,JamesF.Kurose
12,J.DuncanGlover
13,DavidMoneyHarris
14,FerdinandP.Beer
15,DonaldP.Coduto
16,StuartRussell
17,RobertL.Boylestad
18,NormanS.Nise
19,FrankM.White
20,C.JotinKhisty
21,AbrahamSilberschatz
22,JohnG.Proakis
23,CharlesK.Alexander
24,WilliamD.Callister
25,DanielJ.Findley
26,MichaelT.Goodrich
27,EdwardAshfordLee
28,MuhammadH.Rashid
29,DanielJ.Inman
30,HowardS.Peavy
